id;bulletin_year;bulletin_nr;office;search_type;mailed_date;publn_auth;publn_nr;publn_kind;publn_date;publn_lg
11872356;0;0;"EP";"SUP";2015-02-09;"  ";"";"  ";9999-12-31;"  "
11872356;2013;12;"JP";"ISR";9999-12-31;"WO";"2013038483";"A1";2013-03-21;"ja"
14188128;2016;15;"EP";"NAT";9999-12-31;"EP";"3007328";"A1";2016-04-13;"de"
94202263;0;0;"EP";"SUP";1994-11-24;"  ";"";"  ";9999-12-31;"  "
14786611;2015;17;"EP";"ISR";9999-12-31;"WO";"2015058846";"A2";2015-04-30;"de"
14786794;2015;16;"EP";"ISR";9999-12-31;"WO";"2015055213";"A1";2015-04-23;"en"
81100232;1982;45;"EP";"NAT";9999-12-31;"EP";"0033847";"A3";1982-11-10;"de"
95903355;1995;26;"SE";"ISR";9999-12-31;"WO";"9516858";"A1";1995-06-22;"en"
8102321;0;0;"EP";"SUP";2012-11-09;"  ";"";"  ";9999-12-31;"  "
8102321;2012;50;"EP";"NAT";9999-12-31;"EP";"1978208";"A3";2012-12-12;"en"
14188683;2016;16;"EP";"NAT";9999-12-31;"EP";"3009675";"A1";2016-04-20;"en"
14189185;0;0;"EP";"SUP";2015-03-12;"  ";"";"  ";9999-12-31;"  "
8102019;0;0;"EP";"SUP";2009-12-21;"  ";"";"  ";9999-12-31;"  "
8102019;2010;3;"EP";"NAT";9999-12-31;"EP";"1965096";"A3";2010-01-20;"  "
7001413;0;0;"EP";"SUP";2014-12-22;"  ";"";"  ";9999-12-31;"  "
7001413;2015;4;"EP";"NAT";9999-12-31;"EP";"1783843";"A3";2015-01-21;"en"
11460025;2012;46;"EP";"NAT";9999-12-31;"EP";"2523292";"A1";2012-11-14;"en"
11700558;2011;32;"EP";"ISR";9999-12-31;"WO";"2011095397";"A2";2011-08-11;"en"
11732937;2011;29;"JP";"ISR";9999-12-31;"WO";"2011087067";"A1";2011-07-21;"ja"
14810101;2015;23;"EP";"ISR";9999-12-31;"WO";"2015084650";"A2";2015-06-11;"en"
11869763;0;0;"EP";"SUP";2014-03-11;"  ";"";"  ";9999-12-31;"  "
11869763;2013;23;"JP";"ISR";9999-12-31;"WO";"2013080322";"A1";2013-06-06;"ja"
14793535;2015;23;"EP";"ISR";9999-12-31;"WO";"2015082150";"A1";2015-06-11;"de"
80301784;0;0;"EP";"SUP";1980-09-10;"  ";"";"  ";9999-12-31;"  "
14781671;2014;52;"EP";"ISR";9999-12-31;"WO";"2014203230";"A2";2014-12-24;"en"
14790359;2015;11;"EP";"ISR";9999-12-31;"WO";"2015037024";"A1";2015-03-19;"en"
14181184;2015;19;"EP";"NAT";9999-12-31;"EP";"2868573";"A1";2015-05-06;"en"
3740179;2003;51;"EP";"ISR";9999-12-31;"WO";"03104645";"A1";2003-12-18;"de"
11818967;0;0;"EP";"SUP";2017-09-21;"  ";"";"  ";9999-12-31;"  "
11818967;2012;14;"JP";"ISR";9999-12-31;"WO";"2012043392";"A1";2012-04-05;"ja"
94202263;1995;6;"EP";"NAT";9999-12-31;"EP";"0637553";"A1";1995-02-08;"en"
94202606;0;0;"EP";"SUP";1996-03-08;"  ";"";"  ";9999-12-31;"  "
11877972;0;0;"EP";"SUP";2015-06-30;"  ";"";"  ";9999-12-31;"  "
11877972;2013;26;"SE";"ISR";9999-12-31;"WO";"2013095211";"A1";2013-06-27;"en"
14787748;0;0;"EP";"SUP";2016-12-06;"  ";"";"  ";9999-12-31;"  "
14787748;2014;44;"KR";"ISR";9999-12-31;"WO";"2014175969";"A2";2014-10-30;"en"
12748062;2013;24;"EP";"ISR";9999-12-31;"WO";"2013084374";"A1";2013-06-13;"en"
12750827;2014;6;"EP";"ISR";9999-12-31;"WO";"2014020638";"A1";2014-02-06;"en"
14165646;2015;10;"EP";"NAT";9999-12-31;"EP";"2796620";"A3";2015-03-04;"de"
14166007;0;0;"EP";"SUP";2014-10-02;"  ";"";"  ";9999-12-31;"  "
10807609;2011;25;"EP";"ISR";9999-12-31;"WO";"2011073588";"A2";2011-06-23;"fr"
10808009;0;0;"EP";"SUP";2015-06-12;"  ";"";"  ";9999-12-31;"  "
12707864;2012;34;"EP";"ISR";9999-12-31;"WO";"2012110728";"A1";2012-08-23;"fr"
12709321;2012;38;"EP";"ISR";9999-12-31;"WO";"2012123551";"A1";2012-09-20;"en"
14189185;2016;16;"EP";"NAT";9999-12-31;"EP";"3009344";"A1";2016-04-20;"en"
3717453;2003;39;"EP";"ISR";9999-12-31;"WO";"03078870";"A1";2003-09-25;"en"
6827215;2008;20;"US";"ISR";9999-12-31;"WO";"2008057073";"A1";2008-05-15;"en"
6830423;2007;24;"EP";"ISR";9999-12-31;"WO";"2007065915";"A1";2007-06-14;"fr"
9251266;2016;27;"EP";"NAT";9999-12-31;"EP";"2131173";"A3";2016-07-06;"en"
13171276;0;0;"EP";"SUP";2017-09-11;"  ";"";"  ";9999-12-31;"  "
97922660;0;0;"EP";"SUP";1999-04-28;"  ";"";"  ";9999-12-31;"  "
97922660;1997;47;"US";"ISR";9999-12-31;"WO";"9740999";"A1";1997-11-06;"en"
7007129;0;0;"EP";"SUP";2007-09-28;"  ";"";"  ";9999-12-31;"  "
7007129;2008;41;"EP";"NAT";9999-12-31;"EP";"1978185";"A1";2008-10-08;"en"
14789158;2015;17;"EP";"ISR";9999-12-31;"WO";"2015058771";"A1";2015-04-30;"en"
14800479;0;0;"EP";"SUP";2017-02-15;"  ";"";"  ";9999-12-31;"  "
9179029;2011;16;"EP";"NAT";9999-12-31;"EP";"2199607";"A3";2011-04-20;"  "
9180415;0;0;"EP";"SUP";2011-03-01;"  ";"";"  ";9999-12-31;"  "
