id;appeal_date;appeal_nr;phase;date_state_grounds_filed;date_interloc_revision;result;result_date
9778455;2018-06-05;"T1419/18-3204";"opposition";9999-12-31;9999-12-31;"";9999-12-31
10382075;2015-04-07;"T0722/15-3501";"opposition";2015-06-22;9999-12-31;"";9999-12-31
10781704;2017-01-03;"T0049/17-3502";"opposition";2017-03-09;9999-12-31;"";9999-12-31
4765486;2015-05-27;"T1145/15-3502";"opposition";2015-08-06;9999-12-31;"";9999-12-31
7722717;2014-07-29;"T1646/14-3203";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE PATENT PROPRIETOR";2014-09-19
9717235;2015-12-01;"T2236/15-3205";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE PATENT PROPRIETOR";2016-01-20
7723881;2017-01-05;"T0060/17-3204";"opposition";2017-02-27;9999-12-31;"";9999-12-31
8007393;2018-07-05;"T1764/18-3204";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE PATENT PROPRIETOR";2018-07-23
91301522;2001-01-25;"T0229/01-3302";"opposition";2001-03-23;9999-12-31;"APPEAL OF PROPRIETOR REJECTED";2004-06-29
10001532;2016-01-26;"T0185/16-3205";"opposition";2016-03-30;9999-12-31;"";9999-12-31
10001532;2016-01-29;"T0185/16-3205";"opposition";9999-12-31;9999-12-31;"";9999-12-31
10710316;2017-02-09;"T2746/16-3204";"opposition";2017-04-11;9999-12-31;"";9999-12-31
80401236;1984-12-20;"T0096/85-3201";"examination";1985-03-15;9999-12-31;"REMITTAL FOR GRANT";1988-02-23
4753821;2012-09-04;"T1921/12-3207";"opposition";2012-11-16;9999-12-31;"REVOCATION OF THE PATENT";2016-10-26
92306513;1999-07-28;"T1012/99-3501";"examination";1999-09-29;9999-12-31;"APPEAL OF APPLICANT REJECTED";2000-06-07
95400833;2002-08-07;"T0852/02-3502";"opposition";2002-09-04;9999-12-31;"WITHDRAWAL OF APPEAL OF THE OPPONENT";2004-10-02
12724565;2018-06-07;"T1444/18-3204";"opposition";9999-12-31;9999-12-31;"";9999-12-31
12724565;2018-06-18;"T1444/18-3204";"opposition";9999-12-31;9999-12-31;"";9999-12-31
10162409;2017-04-11;"T0935/17-3502";"opposition";2017-06-01;9999-12-31;"";9999-12-31
11193562;2017-03-10;"T0633/17-3201";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE OPPONENT";2017-05-11
87100983;1995-10-17;"T0901/95-3502";"opposition";1995-12-19;9999-12-31;"APPEAL OF OPPONENT REJECTED";1998-10-29
97954466;2011-02-11;"T0383/11-3502";"opposition";2011-04-18;9999-12-31;"MAINTENANCE IN AMENDED FORM";2012-04-17
9157545;2017-12-29;"T0011/18-3204";"opposition";2018-02-28;9999-12-31;"";9999-12-31
10169385;2017-02-13;"T0389/17-3502";"opposition";2017-04-10;9999-12-31;"";9999-12-31
91830129;1998-11-11;"T1068/98-3206";"opposition";1998-12-08;2001-06-13;"APPEAL OF OPPONENT REJECTED";2001-06-13
2787103;2012-05-09;"T1163/12-3204";"opposition";2012-07-25;9999-12-31;"MAINTENANCE IN AMENDED FORM";2016-06-27
82104526;1992-04-15;"T0383/92-3502";"opposition";1992-06-16;9999-12-31;"MAINTENANCE IN AMENDED FORM";1994-07-21
