id;ipc_text;change_date;bulletin_year;bulletin_nr
10816404;"F03B13/26, F03B3/12, F03B11/00";2012-02-17;2012;12
10816404;"F03B13/26, F03B3/12, F03B11/00, F03B17/06";2013-04-26;2013;22
5743095;"F02D7/02, F03D9/00, F03D9/02";2006-12-29;2007;5
10823752;"G06F19/00";2012-07-20;2012;34
10823752;"G06F19/00, F03D1/06, F03D11/02, F03D1/02";2014-03-28;2014;18
5725733;"F03B13/10";2006-11-17;2006;51
5725733;"H02K35/02, H02K11/04, H02K7/18, F03B13/18, F03B13/20, F03B15/00, H02P3/22, B60L7/00";2012-10-12;2012;46
5739331;"F03D11/04, F03D3/06";2006-12-22;2007;4
10823138;"F01N5/02";2012-07-20;2012;34
10823138;"F01N5/02, F02K5/02";2015-05-08;2015;24
5725045;"A61B17/24";2006-12-29;2007;5
5725045;"F03C2/00, F03C4/00, F04C2/00, F04C18/00";2007-09-21;2007;43
5722194;"F03B3/12, F03B7/00, F03B13/10, F03B13/26";2006-11-17;2006;51
10816511;"H02J3/38, H02J3/01, H02J3/18, H02J3/40";2012-06-22;2012;30
83901951;"G01M13/04, F16C19/52";1984-09-14;1984;46
84112804;"F03B15/06";1985-03-16;1985;20
84114467;"B41J11/20";1985-04-05;1985;23
10827987;"H02J3/46, G06Q50/00, H02J3/00, H02J3/32, H02J7/35, H02J13/00, G06Q30/06, G06Q50/06";2013-07-05;2013;32
10829025;"B60K16/00, H02K3/50, H02K3/12";2012-08-10;2012;37
5744638;"F03B15/06";2007-01-26;2007;9
5744638;"F03D3/02";2007-06-22;2007;30
10818231;"F21V9/02, F21V9/04, F21V23/06";2012-06-29;2012;31
5731806;"F03D7/02, // F03D11/00";2006-12-01;2007;1
5746782;"F16C19/49, F16C19/54, F16H57/02";2006-12-22;2007;4
10817405;"H02K41/02";2012-06-22;2012;30
10817405;"H02K1/14, H02K21/14, H02K41/02";2014-07-04;2014;32
10823314;"F16H57/04, F16C17/02, F16C33/10, F16H1/28";2012-07-20;2012;34
5725734;"F03B13/20, H02K7/18, H02K35/02, H02P3/22, B60L7/00, F03B13/18, H02P9/00, H02P25/18";2014-12-26;2015;5
10830790;"F03B17/06, F03B13/26, F03B3/12, F03B11/00";2012-08-17;2012;38
14808079;"F02K3/06, F04D29/54";2016-03-11;2016;15
14808079;"F02K3/06, F04D29/54, F01D25/16, F01D25/24, F02C7/20, F04D29/64";2016-12-23;2017;4
14799164;"F16H57/021";2016-09-23;2016;43
14801886;"F02B75/00, F02B75/40, F02B53/00, F02B55/00";2016-02-26;2016;13
10831171;"F03D1/00, F03D9/00, F03D11/00, H02K7/18, F03D11/04";2012-08-24;2012;39
10835519;"E04H12/34, F03D11/04";2012-09-14;2012;42
10819967;"H02J3/38, H02J3/46, H02J7/35, H02J13/00";2012-07-06;2012;32
10819967;"H02J3/38, H02J3/46, H02J7/35, H02J13/00, H02J3/24";2014-05-09;2014;24
5725395;"F03B15/06, F03D7/00";2006-10-27;2006;48
5730811;"A62B9/00";2006-11-17;2006;51
14786278;"F03B13/00";2016-05-20;2016;25
10823314;"F16H57/04, F16C17/02, F16C33/10, F03D11/00";2013-03-29;2013;18
10823907;"F03G7/00, F03G7/08";2012-07-20;2012;34
5719268;"B63B35/44, B63B39/03";2006-10-06;2006;45
10817563;"A61B5/00, C12Q1/54";2012-05-25;2012;26
10832680;"F03D11/00, B64C11/18";2012-08-31;2012;40
14807873;"B60L11/00, B60L15/00, B60P1/00, B62D7/04, B62D7/15, B62D61/12, B62D63/02, B62D61/10";2016-12-02;2017;1
14811760;"F03D13/00";2016-09-16;2016;42
5736119;"F03D7/02, F03D9/00";2006-12-29;2007;5
5742186;"F21V29/00, F21Y101/00";2007-11-30;2008;1
5747132;"H02M1/12, H02J3/01";2007-01-12;2007;7
10828337;"B29C70/16, B29B11/16, B29C70/10, F02C7/00, B29K101/10, B29K105/08, B29L23/00";2012-08-10;2012;37
10828337;"B29C70/16, B29B11/16, B29C70/10, F02C7/00, B29K101/10, B29K105/08, B29L23/00, B29C70/32, B29C53/56";2016-04-15;2016;20
10834666;"B23K26/26, C22C38/08, C22C38/14, C22C38/16, F03D1/00, B23K101/06, B23K101/18, B23K103/04, B23K26/211, B23K15/06, B23K35/30, B23K15/00";2016-10-07;2016;45
84109979;"F03D3/04, F03D1/04, F03D9/00, F03D11/04";1985-02-01;1985;14
84112151;"E02D27/42, E04H12/22";1985-06-29;1985;35
10818485;"G01P3/36";2012-07-06;2012;32
10818485;"G01P3/36, G01P5/26, G01S17/58";2013-01-18;2013;8
10828152;"H02K1/18, F03D1/06, F03D7/04, F03D11/00, H02K1/28";2012-08-10;2012;37
14801886;"F02B75/00, F02B75/40, F02B53/00, F02B55/00, F01B9/04, F01C9/00";2016-12-09;2017;2
14802322;"B25B11/00, B25B11/02";2016-09-02;2016;40
10826164;"E02D27/42, E04H12/22, E04B1/38";2012-08-03;2012;36
10831712;"B63J99/00, B63H9/00, F03D3/04";2012-08-24;2012;39
14801806;"B32B27/00, B65D65/40";2016-02-26;2016;13
14801806;"B32B27/08, B65D65/40, B32B15/08, B32B27/32";2016-12-23;2017;4
14802557;"B65D75/00, B65D75/20, B65D75/52, B65D75/54, B65D75/56, B65D30/10, B65D75/58, B65D33/00, B65D33/02, B65D81/03";2016-08-12;2016;37
10829147;"F03D3/00";2012-08-10;2012;37
