id;bulletin_year;bulletin_nr;publn_auth;publn_nr;publn_kind;publn_date;publn_lg
8776007;2009;4;"WO";"2009010771";"A2";2009-01-22;"en"
5706625;2007;7;"EP";"1752657";"A1";2007-02-14;"en"
5716517;2005;41;"WO";"2005095717";"A1";2005-10-13;"de"
11819138;2012;24;"WO";"2012078120";"A2";2012-06-14;"en"
11819138;2013;42;"EP";"2649305";"A2";2013-10-16;"en"
8775948;2016;47;"EP";"2167812";"B1";2016-11-23;"en"
8776267;2009;13;"WO";"2009037533";"A2";2009-03-26;"en"
5706560;2006;48;"EP";"1725769";"A1";2006-11-29;"en"
5711593;2005;32;"WO";"2005072184";"A2";2005-08-11;"en"
1907550;2004;33;"EP";"1266137";"B1";2004-08-11;"de"
5710123;2005;34;"WO";"2005077685";"A1";2005-08-25;"en"
8788861;2009;2;"WO";"2009004476";"A2";2009-01-08;"en"
8788861;2010;16;"EP";"2176547";"A2";2010-04-21;"en"
5715114;2006;51;"EP";"1733241";"A1";2006-12-20;"en"
5715114;2007;46;"EP";"1733241";"B1";2007-11-14;"en"
5703428;2005;30;"WO";"2005068244";"A1";2005-07-28;"en"
5703428;2006;40;"EP";"1707429";"A1";2006-10-04;"en"
8785562;2014;12;"EP";"2176558";"B1";2014-03-19;"de"
8786984;2009;8;"WO";"2009021900";"A1";2009-02-19;"en"
1660115;2005;33;"EP";"1167818";"B1";2005-08-17;"en"
5707505;2005;41;"WO";"2005095750";"A1";2005-10-13;"de"
11819138;2015;8;"EP";"2649305";"B1";2015-02-18;"en"
11822882;2012;26;"WO";"2012083907";"A1";2012-06-28;"de"
5716517;2006;52;"EP";"1735506";"A1";2006-12-27;"de"
5716517;2017;24;"EP";"1735506";"B1";2017-06-14;"de"
14846106;2015;12;"WO";"2015040277";"A1";2015-03-26;"en"
14846106;2016;30;"EP";"3047139";"A1";2016-07-27;"en"
8788575;2010;17;"EP";"2179112";"A2";2010-04-28;"en"
8791247;2010;3;"WO";"2010007677";"A1";2010-01-21;"ja"
8793714;2009;45;"WO";"2009133993";"A1";2009-11-05;"en"
8793714;2011;11;"EP";"2294314";"A1";2011-03-16;"en"
1913729;2002;51;"EP";"1266138";"A1";2002-12-18;"en"
5717196;2005;38;"WO";"2005088179";"A1";2005-09-22;"en"
1915121;2007;43;"EP";"1269018";"B1";2007-10-24;"en"
8793841;2009;9;"WO";"2009025548";"A1";2009-02-26;"en"
1811203;2003;24;"EP";"1318589";"A1";2003-06-11;"de"
1811203;2013;7;"EP";"1318589";"B1";2013-02-13;"de"
5715331;2007;9;"EP";"1756423";"A1";2007-02-28;"de"
5715331;2014;39;"EP";"1756423";"B1";2014-09-24;"de"
8779318;2008;49;"WO";"2008147327";"A1";2008-12-04;"en"
8779318;2010;13;"EP";"2167813";"A1";2010-03-31;"en"
