id;set_seq_nr;bulletin_year;bulletin_nr;type;seq_nr;country
9744485;2;2014;9;"A";2;"TR"
98913566;3;0;0;"A";1;"IE"
10814644;3;2016;18;"A";3;"DE"
91113634;1;1992;10;"A";1;"ES"
7104727;3;0;0;"A";1;"ES"
8075047;5;2011;18;"A";1;"BE"
8102677;1;2008;39;"A";1;"FR"
8870460;3;2014;9;"A";2;"NL"
6126121;1;2007;27;"A";1;"FR"
1610082;1;2002;6;"A";2;"LU"
1108887;8;2006;29;"A";1;"GB"
6126121;3;2009;9;"A";1;"FR"
9764098;2;2014;10;"A";2;"PL"
11726665;1;2013;7;"A";1;"TR"
9764098;2;2014;10;"A";2;"CH"
98913566;2;2001;32;"A";1;"SE"
89112803;1;1990;6;"A";1;"FR"
98908040;2;2001;32;"A";1;"FR"
12152566;2;0;0;"A";2;"AL"
1108887;7;2006;12;"A";2;"IE"
9730599;2;2014;10;"A";2;"IT"
99929583;2;0;0;"A";1;"DE"
13167112;3;0;0;"A";2;"SM"
12152566;2;0;0;"A";2;"GB"
1610082;1;2002;6;"A";2;"GB"
9730599;2;2014;10;"A";2;"NL"
9744485;3;0;0;"A";2;"ES"
8870460;2;2013;39;"A";2;"TR"
98913566;2;2001;32;"A";1;"CH"
11726665;1;2013;7;"A";1;"DK"
98908040;3;0;0;"A";1;"ES"
8075047;5;2011;18;"A";1;"AT"
11726665;1;2013;7;"A";1;"HR"
98913566;2;2001;32;"A";1;"LI"
89910654;2;1991;32;"A";3;"GB"
9744485;2;2014;9;"A";2;"EE"
98913566;1;1999;49;"A";1;"LI"
10814644;3;2016;18;"A";4;"RS"
7076134;4;2014;28;"A";1;"RO"
94810654;5;0;0;"A";1;"DE"
8075047;3;2010;49;"A";1;"SI"
8075047;3;2010;49;"A";1;"MC"
16156238;1;2017;34;"A";2;"DK"
81890064;2;0;0;"A";1;"IT"
9744485;2;2014;9;"A";2;"LT"
6425372;2;2008;19;"A";1;"BG"
79301012;4;1982;36;"A";1;"GB"
8075047;3;2010;49;"A";1;"HR"
9764098;4;0;0;"A";2;"MC"
7076111;2;2010;35;"A";1;"LV"
1108887;8;2006;29;"A";2;"NL"
6126121;2;2008;38;"A";1;"FR"
7076134;4;2014;28;"A";1;"LT"
10814644;3;2016;18;"A";4;"MT"
9744485;2;2014;9;"A";2;"SE"
8075047;5;2011;18;"A";1;"CH"
9744485;2;2014;9;"A";2;"MT"
9154477;1;2009;42;"A";1;"ES"
7107189;1;2007;44;"A";1;"DE"
4292801;1;2006;22;"A";3;"EE"
90107682;3;1998;10;"A";2;"DE"
10814644;3;2016;18;"A";4;"MC"
9764098;4;0;0;"A";2;"BE"
7076110;4;2012;13;"A";1;"GR"
8870460;2;2013;39;"A";2;"RO"
12152566;2;0;0;"A";2;"LU"
7076111;2;2010;35;"A";1;"FR"
6125461;2;2008;38;"A";1;"DE"
7076111;2;2010;35;"A";1;"NL"
1108887;7;2006;12;"A";2;"IT"
4292801;1;2006;22;"A";2;"PL"
16156238;1;2017;34;"A";2;"PT"
9764098;2;2014;10;"A";2;"IS"
11726665;2;2013;40;"A";1;"EE"
7076110;4;2012;13;"A";1;"LU"
1108887;8;2006;29;"A";2;"LI"
4292801;1;2006;22;"A";2;"SK"
92119133;1;1993;23;"A";3;"FR"
8075047;5;2011;18;"A";1;"SI"
9730599;2;2014;10;"A";2;"MT"
10814644;3;2016;18;"A";3;"SM"
7104727;1;2007;40;"A";1;"DK"
9764098;2;2014;10;"A";2;"AT"
94810654;4;1999;9;"A";1;"DE"
1610082;2;0;0;"A";2;"CY"
7076111;2;2010;35;"A";1;"IS"
9730599;4;2017;29;"A";1;"DE"
86114395;1;1988;16;"A";2;"FR"
4292801;2;2006;29;"A";3;"BE"
7107188;1;2007;44;"A";1;"DE"
7076110;4;2012;13;"A";1;"PL"
11726665;2;2013;40;"A";1;"LV"
1610082;2;0;0;"A";2;"LI"
9764098;4;0;0;"A";2;"AT"
4292801;2;2006;29;"A";3;"SI"
13167112;3;0;0;"A";2;"LV"
8870460;3;2014;9;"A";2;"IS"
7104727;1;2007;40;"A";1;"ES"
8870460;3;2014;9;"A";2;"CZ"
7076111;2;2010;35;"A";1;"LI"
9730599;4;2017;29;"A";2;"NO"
7076111;2;2010;35;"A";1;"CH"
4292801;2;2006;29;"A";3;"GB"
9730599;3;2016;35;"A";2;"LI"
4292801;1;2006;22;"A";3;"MC"
8102677;1;2008;39;"A";1;"DE"
6425372;2;2008;19;"A";1;"SE"
4292801;3;2017;4;"A";3;"LU"
9744485;3;0;0;"A";2;"HR"
6425372;2;2008;19;"A";1;"DE"
98913566;3;0;0;"A";1;"GB"
1610082;1;2002;6;"A";1;"IE"
97100480;1;1997;30;"A";3;"FR"
9764098;2;2014;10;"A";2;"BG"
7076111;2;2010;35;"A";1;"CZ"
13167112;2;2014;9;"A";2;"SK"
8870460;3;2014;9;"A";2;"EE"
98908040;2;2001;32;"A";1;"PT"
8075047;5;2011;18;"A";1;"GR"
12152566;2;0;0;"A";2;"CH"
9744485;3;0;0;"A";2;"TR"
9730599;2;2014;10;"A";2;"HU"
9744485;2;2014;9;"A";2;"ES"
7076110;4;2012;13;"A";1;"SK"
9730599;3;2016;35;"A";2;"CH"
94810654;4;1999;9;"A";1;"GB"
13167112;2;2014;9;"A";2;"IE"
12152566;2;0;0;"A";2;"IS"
4292801;3;2017;4;"A";3;"EE"
9744485;2;2014;9;"A";2;"LU"
7076111;2;2010;35;"A";1;"SE"
5100785;1;2005;33;"A";1;"NL"
11726665;1;2013;7;"A";1;"MC"
8075047;4;2011;1;"A";1;"IE"
8870460;3;2014;9;"A";2;"LU"
6425372;2;2008;19;"A";1;"LV"
7076134;4;2014;28;"A";1;"PT"
8102677;2;0;0;"A";1;"FR"
7076134;3;2012;11;"A";1;"BE"
98908040;1;1999;47;"A";1;"GR"
7076134;3;2012;11;"A";1;"GR"
8075047;3;2010;49;"A";1;"IE"
10814644;3;2016;18;"A";3;"BG"
7076110;4;2012;13;"A";1;"RO"
9764098;4;0;0;"A";2;"SI"
1610082;2;0;0;"A";1;"AT"
9730599;3;2016;35;"A";2;"LU"
9730599;2;2014;10;"A";2;"LV"
4292801;3;2017;4;"A";3;"IS"
94810654;5;0;0;"A";1;"PT"
8870460;1;2010;39;"A";2;"LU"
9764098;2;2014;10;"A";2;"PT"
8075047;3;2010;49;"A";1;"LI"
12152566;1;2013;31;"A";2;"DK"
13167112;3;0;0;"A";2;"RO"
8075047;4;2011;1;"A";1;"EE"
9730599;3;2016;35;"A";2;"MK"
8870460;2;2013;39;"A";2;"LT"
9730599;4;2017;29;"A";2;"MK"
12152566;1;2013;31;"A";2;"AT"
9764098;2;2014;10;"A";2;"SM"
8075047;3;2010;49;"A";2;"FI"
16156238;1;2017;34;"A";2;"RS"
11726665;1;2013;7;"A";1;"AT"
7076111;2;2010;35;"A";1;"IE"
9730599;4;2017;29;"A";2;"IS"
4292801;3;2017;4;"A";3;"CY"
89112803;2;0;0;"A";1;"CH"
1610082;2;0;0;"A";4;"FR"
6425372;2;2008;19;"A";1;"NL"
8102677;2;0;0;"A";1;"IT"
4292801;2;2006;29;"A";3;"NL"
7076110;4;2012;13;"A";1;"BG"
98913566;2;2001;32;"A";1;"IE"
94810654;4;1999;9;"A";1;"CH"
8075047;4;2011;1;"A";1;"HR"
98908040;3;0;0;"A";1;"MC"
81890064;2;0;0;"A";2;"SE"
13167112;3;0;0;"A";2;"NO"
16156238;1;2017;34;"A";2;"BG"
7076111;2;2010;35;"A";1;"MC"
98908040;2;2001;32;"A";1;"DE"
9764098;2;2014;10;"A";2;"MK"
8870460;3;2014;9;"A";2;"GB"
89910654;3;0;0;"A";1;"DE"
79301012;5;0;0;"A";2;"DE"
8870460;3;2014;9;"A";2;"BG"
4292801;1;2006;22;"A";3;"LU"
10814644;3;2016;18;"A";4;"ES"
1610082;1;2002;6;"A";1;"DK"
8075047;5;2011;18;"A";1;"HR"
9730599;4;2017;29;"A";2;"HU"
9730599;3;2016;35;"A";2;"IE"
8870460;2;2013;39;"A";2;"ES"
11726665;2;2013;40;"A";1;"AL"
13167112;3;0;0;"A";2;"IS"
9764098;4;0;0;"A";2;"IE"
98908040;3;0;0;"A";1;"IE"
7076134;4;2014;28;"A";1;"PL"
8075047;4;2011;1;"A";1;"IT"
9730599;3;2016;35;"A";2;"MT"
6126121;3;2009;9;"A";1;"DE"
8075047;5;2011;18;"A";1;"LT"
9764098;2;2014;10;"A";1;"DE"
1610082;2;0;0;"A";2;"FI"
6425372;2;2008;19;"A";1;"CZ"
9730599;4;2017;29;"A";2;"GB"
98913566;1;1999;49;"A";1;"BE"
9764098;3;2016;35;"A";2;"HU"
7076110;4;2012;13;"A";1;"CH"
11726665;2;2013;40;"A";1;"IS"
1610082;2;0;0;"A";2;"CH"
11726665;2;2013;40;"A";1;"CY"
13167112;2;2014;9;"A";2;"LT"
9764098;4;0;0;"A";2;"RO"
4292801;3;2017;4;"A";3;"SE"
8870460;1;2010;39;"A";2;"NL"
12152566;1;2013;31;"A";2;"IE"
8870460;3;2014;9;"A";2;"PL"
4292801;3;2017;4;"A";3;"PT"
6022067;3;2016;16;"A";2;"IT"
4292801;1;2006;22;"A";2;"AT"
9744485;2;2014;9;"A";2;"GB"
89112803;2;0;0;"A";1;"LI"
9764098;2;2014;10;"A";2;"FI"
7076134;3;2012;11;"A";1;"BG"
8870460;2;2013;39;"A";2;"LI"
15712433;1;2017;4;"A";2;"MT"
13167112;2;2014;9;"A";2;"BE"
9764098;3;2016;35;"A";2;"LT"
10814644;3;2016;18;"A";4;"LI"
79301012;4;1982;36;"A";3;"FR"
9730599;2;2014;10;"A";2;"IS"
11726665;1;2013;7;"A";1;"MT"
9744485;2;2014;9;"A";2;"LI"
12152566;1;2013;31;"A";2;"LT"
1108887;7;2006;12;"A";2;"NL"
98913566;3;0;0;"A";1;"FR"
8075047;3;2010;49;"A";1;"TR"
12152566;1;2013;31;"A";2;"HU"
86114395;1;1988;16;"A";2;"IT"
98913566;3;0;0;"A";1;"ES"
9764098;3;2016;35;"A";1;"DE"
9744485;2;2014;9;"A";2;"LV"
86114395;2;0;0;"A";2;"IT"
9764098;3;2016;35;"A";2;"IE"
4292801;2;2006;29;"A";2;"PL"
7076110;4;2012;13;"A";1;"CY"
9730599;2;2014;10;"A";2;"IE"
12152566;1;2013;31;"A";2;"MK"
4292801;1;2006;22;"A";3;"SE"
8075047;4;2011;1;"A";1;"CH"
9764098;4;0;0;"A";2;"SK"
7076134;4;2014;28;"A";1;"CH"
9730599;4;2017;29;"A";2;"LV"
98913566;3;0;0;"A";2;"AT"
16156238;1;2017;34;"A";2;"MT"
