id;child_id;relation_type
13701924;16192612;"division"
13726774;16158301;"division"
13726774;16158306;"division"
82402010;87200617;"division"
13719899;17192223;"division"
10710316;13174930;"division"
10767608;16206798;"division"
11778644;14175560;"division"
13714314;17209222;"division"
6776857;10161062;"division"
6776857;11189912;"division"
8715905;10162409;"division"
9827928;14199940;"division"
12734179;13179345;"division"
12844964;17196371;"division"
13859297;17185679;"division"
15716985;18151130;"division"
7832483;13172389;"division"
7832483;13189708;"division"
7832483;13189709;"division"
8102321;13176741;"division"
13853279;17190321;"division"
15856903;17173863;"division"
98929427;3028387;"division"
98953912;8100220;"division"
10807608;12185355;"division"
10807608;16154537;"division"
11700788;14162053;"division"
12006627;17181879;"division"
16163651;17185332;"division"
92906045;98100378;"division"
96940152;3004315;"division"
98953912;8100222;"division"
98953912;8100224;"division"
98953912;8100226;"division"
15788951;17177019;"division"
16189464;17200830;"division"
83109443;86105735;"division"
90300815;93104665;"division"
11159292;15156999;"division"
11794055;14187727;"division"
12152005;16165851;"division"
12810048;15170156;"division"
9712378;12165375;"division"
9712378;12165377;"division"
9712378;13160951;"division"
9716279;10178071;"division"
95919933;1108704;"division"
98303612;2017463;"division"
16198195;18152981;"division"
90113121;94108911;"division"
92908256;4006943;"division"
92908256;98111304;"division"
97945342;4077786;"division"
10747962;15172138;"division"
10790628;17151582;"division"
11713841;16178516;"division"
12008482;15176477;"division"
10766670;16170643;"division"
11002084;17172759;"division"
11760896;15179168;"division"
12176385;14182576;"division"
16160669;18158100;"division"
10188088;12154396;"division"
11002613;12005304;"division"
11712550;14163005;"division"
11799883;13160517;"division"
88108100;91117012;"division"
94911961;96110727;"division"
94917277;200913;"division"
99106872;3023075;"division"
99116431;4005917;"division"
12700685;14180212;"division"
12700685;14180214;"division"
12700685;14180218;"division"
12814704;17173271;"division"
12810546;17157168;"division"
13194734;17157631;"division"
13831895;17150238;"division"
14836634;16155510;"division"
15722922;17195852;"division"
12170526;14000838;"division"
12712913;16164721;"division"
12859232;16205324;"division"
12866919;17198066;"division"
14721635;17189627;"division"
14787748;17210986;"division"
15167123;16171889;"division"
8171011;12151305;"division"
9788745;13183713;"division"
9788745;13183735;"division"
11724717;16170834;"division"
10744270;12167100;"division"
15170134;17186511;"division"
9842427;17169133;"division"
10170489;11184545;"division"
10715862;17186031;"division"
10814121;15161871;"division"
2732657;6110622;"division"
5800165;12160371;"division"
6024888;12004396;"division"
6706122;11178654;"division"
92920422;96202827;"division"
12189719;15173791;"division"
12189719;15173841;"division"
14189837;15193329;"division"
95927837;97203066;"division"
13180729;17001953;"division"
13707356;16001595;"division"
13707356;16001596;"division"
13707356;16001597;"division"
14155460;15175203;"division"
14155460;15175205;"division"
15196423;17174345;"division"
94912408;96112713;"division"
12197018;15182861;"division"
13740114;15187894;"division"
13740114;15187896;"division"
14739411;16190320;"division"
98111304;4006943;"division"
98120562;2019249;"division"
98120562;8000942;"division"
7002402;9010435;"division"
8019186;10168320;"division"
9155491;10184217;"division"
9715100;13194515;"division"
13789465;16002418;"division"
89202158;94201600;"division"
94109567;96110126;"division"
94109567;96110127;"division"
94109567;96110128;"division"
98911809;3077313;"division"
98911809;4076829;"division"
98911809;4077742;"division"
14815209;16163818;"division"
15003640;17206440;"division"
15771747;18154145;"division"
94107491;99105251;"division"
10798831;13003808;"division"
12165375;13160951;"division"
12183632;14166409;"division"
12784480;14176502;"division"
10852970;16194821;"division"
14742460;17187025;"division"
98937523;2012133;"division"
98937523;5101832;"division"
12821650;17154737;"division"
13731676;16155863;"division"
96938860;3075668;"division"
15759376;17194978;"division"
87300653;90203256;"division"
99309965;5004717;"division"
95927837;97203069;"division"
95927837;97203071;"division"
99949525;3078545;"division"
12871777;16176856;"division"
13166919;17193081;"division"
13782950;16185407;"division"
81105812;87113946;"division"
98124146;3018230;"division"
15745376;16155578;"division"
89309069;95201374;"division"
97401722;3000860;"division"
81105812;87113965;"division"
81105812;87113966;"division"
91306057;93118570;"division"
3706453;8154645;"division"
3720457;11151473;"division"
4722237;9154197;"division"
4725295;10182646;"division"
4737434;11175449;"division"
4737434;14200112;"division"
7122613;15000475;"division"
10184069;17177016;"division"
10713853;15150152;"division"
10713853;15150155;"division"
10713853;15150162;"division"
10713853;15150168;"division"
10718762;13173057;"division"
12190987;17169064;"division"
12194731;16176669;"division"
12727466;15182420;"division"
13164887;13165147;"division"
13164887;13165153;"division"
