id;bulletin_year;bulletin_nr;date_type;event_date;cause_interruption;converted_to_country
5292646;2007;2;"RQEXAM";2006-11-17;"NA";"  "
5703428;2013;38;"DWDRWN";2013-03-13;"NA";"  "
7825244;0;0;"FEXRRQ";2009-11-16;"NA";"  "
7825244;2009;36;"RQEXAM";2009-06-12;"NA";"  "
2023868;2005;12;"DWDRWN";2004-05-27;"NA";"  "
5425510;0;0;"FEXRRQ";2007-06-01;"NA";"  "
5425510;2007;19;"RQEXAM";2007-03-27;"NA";"  "
2077290;2004;19;"DWDRWN";2003-07-09;"NA";"  "
5257989;0;0;"FEXRRQ";2008-07-04;"NA";"  "
5257989;2008;26;"RQEXAM";2008-05-14;"NA";"  "
5405718;2008;28;"DWDRWN";2007-12-28;"NA";"  "
7826368;0;0;"FEXRRQ";2009-11-24;"NA";"  "
7826368;2009;28;"RQEXAM";2009-03-26;"NA";"  "
10305294;2016;10;"DWDRWN";2015-10-01;"NA";"  "
10305351;0;0;"FEXRRQ";2016-01-04;"NA";"  "
10305351;2011;41;"RQEXAM";2011-07-26;"NA";"  "
5256162;2008;15;"DWDRWN";2007-10-05;"NA";"  "
5257848;0;0;"FEXRRQ";2013-03-11;"NA";"  "
5257848;2012;30;"RQEXAM";2012-06-08;"NA";"  "
7842393;2009;52;"RQEXAM";2009-09-18;"NA";"  "
7842393;2016;13;"OPPNFI";2016-01-25;"NA";"  "
10290310;2012;16;"DWDRWN";2011-09-06;"NA";"  "
5256089;0;0;"FEXRRQ";2008-02-06;"NA";"  "
5256089;2008;7;"RQEXAM";2007-12-27;"NA";"  "
5256089;2017;22;"DWDRWN";2016-12-21;"NA";"  "
10290151;2014;13;"DWDRWN";2013-10-01;"NA";"  "
10704096;0;0;"FEXRRQ";2014-01-24;"NA";"  "
10704096;2011;50;"RQEXAM";2011-08-03;"NA";"  "
7825244;2013;52;"OPPNFI";2013-10-17;"NA";"  "
7827116;0;0;"FEXRRQ";2009-09-21;"NA";"  "
7827116;2009;30;"RQEXAM";2009-05-20;"NA";"  "
2027202;0;0;"FEXRRQ";2003-09-18;"NA";"  "
2027202;2003;36;"RQEXAM";2003-07-07;"NA";"  "
2027202;2007;21;"OPPNFI";2007-03-15;"NA";"  "
2018223;0;0;"FEXRRQ";2010-09-17;"NA";"  "
2018223;2006;32;"RQEXAM";2006-06-28;"NA";"  "
2018223;2018;10;"OPPNFI";2018-01-03;"NA";"  "
5257989;2012;31;"DWDRWN";2012-01-13;"NA";"  "
5291532;0;0;"FEXRRQ";2006-11-14;"NA";"  "
5291532;2006;4;"RQEXAM";2005-07-27;"NA";"  "
5425510;2009;30;"DWDRWN";2009-02-03;"NA";"  "
5702884;0;0;"FEXRRQ";2010-10-14;"NA";"  "
5702884;2007;43;"RQEXAM";2007-09-03;"NA";"  "
7826368;2013;27;"DWDRWN";2013-01-03;"NA";"  "
