id;bulletin_year;bulletin_nr;licensee_seq_nr;licensee_country
11731468;2013;25;"01";"IT"
9009059;2014;13;"01";"LV"
8701733;2012;6;"01";"GR"
11731468;2013;25;"01";"CZ"
6076187;2009;36;"01";"GB"
8715664;2014;30;"03  01";"NO"
10742603;2014;9;"01  01";"ES"
3405133;2005;3;"01";"FR"
4727188;2008;2;"01  00";"IE"
13892077;2016;17;"01";"TR"
4727186;2008;2;"01  00";"TR"
15794271;2018;21;"01  00";"HU"
11804640;2015;24;"01  01";"GB"
13892077;2016;17;"01";"NL"
9725403;2013;25;"01";"PT"
5000275;2008;34;"01";"IS"
14837373;2018;17;"01";"EE"
9009058;2014;13;"01";"IS"
11731468;2013;25;"01";"MT"
6076187;2009;36;"01";"IS"
7705633;2008;34;"01";"IE"
4727188;2008;2;"01  00";"IT"
8707361;2011;23;"01  01";"TR"
7705633;2008;34;"01";"BE"
8715664;2011;23;"01  01";"DK"
8715664;2014;30;"02  01";"FR"
9725403;2013;25;"01";"FR"
5766122;2010;52;"02";"CH"
11703242;2013;25;"01";"AT"
8715664;2014;30;"03  01";"BG"
9735221;2013;25;"01";"HR"
9009059;2014;13;"01";"MT"
13892077;2016;17;"01";"MT"
11290434;2013;40;"01";"GR"
8701733;2012;6;"01";"HR"
9785200;2013;25;"01";"SI"
13892077;2016;17;"01";"MK"
8715664;2014;30;"03  01";"DE"
5773954;2008;34;"01";"LV"
11767374;2015;24;"01  01";"IE"
4447286;2006;32;"01  00";"FR"
6755831;2008;34;"01";"SI"
11703242;2013;25;"01";"CZ"
9009058;2014;13;"01";"BE"
6755831;2008;34;"01";"FI"
5766122;2010;42;"01";"MC"
11767374;2015;24;"01  01";"PT"
11804640;2015;24;"01  01";"RO"
5796256;2010;45;"01  01";"SI"
10742603;2014;9;"01  01";"BE"
8707361;2011;23;"01  01";"BG"
8715664;2014;30;"01  01";"EE"
9009058;2014;13;"01";"HU"
15794271;2018;21;"01  00";"PT"
5000275;2008;34;"01";"CZ"
11290434;2013;40;"01";"RS"
6076187;2009;36;"01";"LV"
